,first_road_class,road_type,speed_limit,junction_detail,light_conditions,weather_conditions,road_surface_conditions,preciptype,conditions,icon
1455,3,6,30,0,1,1,1,None,Partially cloudy,partly-cloudy-day
1456,3,6,20,3,4,1,1,None,Partially cloudy,partly-cloudy-day
1457,3,2,20,3,4,1,1,None,Clear,clear-day
1458,3,6,20,6,1,1,1,None,Clear,clear-day
1459,4,6,20,0,1,4,2,None,Clear,clear-day
1460,3,6,20,3,1,1,1,None,Clear,clear-day
1461,3,6,30,0,1,1,1,rain,"Rain, Partially cloudy",rain
1462,6,6,20,3,4,9,2,rain,"Rain, Overcast",rain
1463,3,6,30,0,1,1,1,rain,"Rain, Partially cloudy",rain
1464,6,6,20,6,1,9,2,rain,"Rain, Partially cloudy",rain
1465,3,6,20,3,4,1,1,rain,"Rain, Partially cloudy",rain
1466,3,1,30,1,4,1,1,rain,"Rain, Partially cloudy",rain
1467,6,6,30,3,4,1,1,rain,"Rain, Partially cloudy",rain
1468,4,1,20,2,1,1,1,rain,"Rain, Partially cloudy",rain
1469,6,6,30,0,1,1,1,rain,"Rain, Partially cloudy",rain
1470,6,6,20,2,1,1,1,rain,"Rain, Partially cloudy",rain
1471,3,6,50,0,4,2,2,rain,"Rain, Partially cloudy",rain
1472,3,6,30,0,4,1,1,rain,"Rain, Overcast",rain
1473,6,2,20,5,1,1,1,rain,"Rain, Partially cloudy",rain
1474,4,6,30,3,1,2,2,rain,"Rain, Partially cloudy",rain
1475,3,6,30,0,1,1,1,rain,"Rain, Partially cloudy",rain
1476,6,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
1477,6,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
1478,3,6,30,3,4,2,2,"rain,snow","Snow, Rain, Partially cloudy",rain
1479,3,1,30,1,4,1,2,rain,"Rain, Overcast",rain
1480,6,6,20,3,1,1,1,rain,"Rain, Overcast",rain
1481,6,6,30,3,6,1,2,rain,"Rain, Overcast",rain
1482,6,6,30,0,4,1,2,rain,Rain,rain
1483,4,6,30,9,1,1,2,"rain,snow","Snow, Rain",rain
1484,6,6,20,0,4,1,1,rain,Rain,rain
1485,6,6,30,3,1,1,1,rain,Rain,rain
1486,3,6,40,1,1,1,1,None,Partially cloudy,partly-cloudy-day
1487,6,6,30,0,1,1,1,None,Partially cloudy,partly-cloudy-day
1488,3,6,60,0,4,1,1,"rain,snow","Snow, Rain, Partially cloudy",rain
1489,6,6,20,3,1,1,2,None,Partially cloudy,partly-cloudy-day
1490,3,6,30,0,1,1,2,None,Overcast,cloudy
1491,3,6,20,0,1,1,1,"rain,snow","Snow, Rain, Partially cloudy",rain
1492,6,6,30,6,1,1,1,rain,"Rain, Partially cloudy",rain
1493,6,6,20,3,4,1,1,rain,"Rain, Overcast",rain
1494,6,6,30,3,1,1,1,None,Overcast,cloudy
1495,6,9,30,0,4,2,2,rain,"Rain, Partially cloudy",rain
1496,6,6,30,0,1,1,1,rain,"Rain, Partially cloudy",rain
1497,6,6,20,0,1,1,1,None,Overcast,cloudy
1498,3,6,30,0,4,1,1,None,Clear,clear-day
1499,3,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
1500,3,6,30,0,1,1,1,None,Clear,clear-day
1501,4,6,20,3,4,4,1,rain,"Rain, Partially cloudy",rain
